City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country
0,Wake Forest,35.9799,-78.5097,44.91,64,0,5.99,US
1,Marsh Harbour,26.5412,-77.0636,78.84,72,1,10.27,BS
2,Atbasar,51.8,68.3333,33.71,98,100,23.31,KZ
3,Chifeng,42.2683,118.9636,29.07,72,3,5.3,CN
4,Hithadhoo,-0.6,73.0833,81.16,77,100,13.2,MV
5,Barrow,71.2906,-156.7887,17.62,73,100,9.22,US
6,Chokurdakh,70.6333,147.9167,-18.67,97,100,7.34,RU
7,Gallup,35.5281,-108.7426,43.56,35,100,14.97,US
8,Georgetown,5.4112,100.3354,80.53,92,20,5.75,MY
9,Kapaa,22.0752,-159.319,82.38,70,40,16.11,US
10,Yulara,-25.2406,130.9889,72.19,33,0,13.35,AU
11,Nicoya,10.1483,-85.452,75.18,92,100,4.81,CR
12,Abha,18.2164,42.5053,53.85,71,0,0.0,SA
13,San Ramon,37.7799,-121.978,57.52,49,0,9.22,US
14,Bengkulu,-3.8004,102.2655,73.27,95,100,5.61,ID
15,Kokopo,-4.352,152.2633,85.14,65,100,4.56,PG
16,Beloha,-25.1667,45.05,70.95,78,0,8.93,MG
17,Ushuaia,-54.8,-68.3,53.26,58,20,4.61,AR
18,Jiwani,25.05,61.7417,78.39,73,0,7.58,PK
19,Jamestown,42.097,-79.2353,35.19,76,100,11.5,US
20,Albany,42.6001,-73.9662,38.39,74,7,1.01,US
21,Biliran,11.4667,124.4753,82.9,80,50,7.7,PH
22,Faanui,-16.4833,-151.75,72.3,88,100,11.63,PF
23,Riyadh,24.6877,46.7219,68.14,50,0,6.71,SA
24,Castro,-24.7911,-50.0119,62.82,94,100,3.85,BR
25,Gaomi,36.3833,119.7528,43.72,55,100,5.03,CN
26,Altamira,-3.2033,-52.2064,75.7,87,38,2.73,BR
27,Hilo,19.7297,-155.09,80.33,72,0,9.22,US
28,Flinders,-34.5833,150.8552,79.05,49,1,11.01,AU
29,Bluff,-46.6,168.3333,56.64,74,95,14.72,NZ
30,Longyearbyen,78.2186,15.6401,26.44,74,75,8.05,SJ
31,Aklavik,68.2191,-135.0107,0.81,94,67,1.97,CA
32,San Jose,37.3394,-121.895,59.25,50,20,8.95,US
33,Myitkyina,25.3833,97.4,62.13,71,0,2.44,MM
34,Mbanza-Ngungu,-5.25,14.8667,65.57,86,88,3.74,CD
35,Chuy,-33.6971,-53.4616,66.6,98,100,9.17,UY
36,Richards Bay,-28.783,32.0377,68.38,83,67,14.67,ZA
37,Mataura,-46.1927,168.8643,71.29,43,17,4.41,NZ
38,Atuona,-9.8,-139.0333,77.95,76,10,16.15,PF
39,Qasigiannguit,68.8193,-51.1922,34.05,75,7,4.97,GL
40,Parambu,-6.2111,-40.6944,79.59,59,32,6.31,BR
41,Petrivka,46.9695,30.9591,43.41,92,77,7.81,UA
