City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
0,Wake Forest,US,44.91,35.9799,-78.5097,
1,Marsh Harbour,BS,78.84,26.5412,-77.0636,
2,Atbasar,KZ,33.71,51.8,68.3333,
3,Chifeng,CN,29.07,42.2683,118.9636,
4,Hithadhoo,MV,81.16,-0.6,73.0833,
5,Barrow,US,17.62,71.2906,-156.7887,
6,Chokurdakh,RU,-18.67,70.6333,147.9167,
7,Gallup,US,43.56,35.5281,-108.7426,
8,Georgetown,MY,80.53,5.4112,100.3354,
9,Kapaa,US,82.38,22.0752,-159.319,
10,Yulara,AU,72.19,-25.2406,130.9889,
11,Nicoya,CR,75.18,10.1483,-85.452,
12,Abha,SA,53.85,18.2164,42.5053,
13,San Ramon,US,57.52,37.7799,-121.978,
14,Bengkulu,ID,73.27,-3.8004,102.2655,
15,Kokopo,PG,85.14,-4.352,152.2633,
16,Beloha,MG,70.95,-25.1667,45.05,
17,Ushuaia,AR,53.26,-54.8,-68.3,
18,Jiwani,PK,78.39,25.05,61.7417,
19,Jamestown,US,35.19,42.097,-79.2353,
20,Albany,US,38.39,42.6001,-73.9662,
21,Biliran,PH,82.9,11.4667,124.4753,
22,Faanui,PF,72.3,-16.4833,-151.75,
23,Riyadh,SA,68.14,24.6877,46.7219,
24,Castro,BR,62.82,-24.7911,-50.0119,
25,Gaomi,CN,43.72,36.3833,119.7528,
26,Altamira,BR,75.7,-3.2033,-52.2064,
27,Hilo,US,80.33,19.7297,-155.09,
28,Flinders,AU,79.05,-34.5833,150.8552,
29,Bluff,NZ,56.64,-46.6,168.3333,
30,Longyearbyen,SJ,26.44,78.2186,15.6401,
31,Aklavik,CA,0.81,68.2191,-135.0107,
32,San Jose,US,59.25,37.3394,-121.895,
33,Myitkyina,MM,62.13,25.3833,97.4,
34,Mbanza-Ngungu,CD,65.57,-5.25,14.8667,
35,Chuy,UY,66.6,-33.6971,-53.4616,
36,Richards Bay,ZA,68.38,-28.783,32.0377,
37,Mataura,NZ,71.29,-46.1927,168.8643,
38,Atuona,PF,77.95,-9.8,-139.0333,
39,Qasigiannguit,GL,34.05,68.8193,-51.1922,
40,Parambu,BR,79.59,-6.2111,-40.6944,
41,Petrivka,UA,43.41,46.9695,30.9591,
42,Republic,US,35.56,37.12,-93.4802,
43,Bredasdorp,ZA,56.43,-34.5322,20.0403,
44,Rikitea,PF,74.86,-23.1203,-134.9692,
45,Vao,NC,74.19,-22.6667,167.4833,
46,Qaanaaq,GL,-3.41,77.484,-69.3632,
47,Valparaiso,CL,60.44,-33.0393,-71.6273,
48,Jardim,BR,76.26,-21.4803,-56.1381,
49,Reykjavik,IS,46.81,64.1355,-21.8954,
50,Lebu,CL,53.55,-37.6167,-73.65,
51,Port Elizabeth,ZA,57.94,-33.918,25.5701,
52,Puerto Ayora,EC,69.55,-0.7393,-90.3518,
53,Upernavik,GL,20.05,72.7868,-56.1549,
54,Sokoni,TZ,78.62,-6.4333,39.55,
55,Saint-Philippe,RE,71.19,-21.3585,55.7679,
56,Qui Nhon,VN,77.9,13.7667,109.2333,
57,Seoul,KR,51.19,37.5683,126.9778,
58,Maniitsoq,GL,30.67,65.4167,-52.9,
59,East London,ZA,61.14,-33.0153,27.9116,
60,Vaini,TO,75.38,-21.2,-175.2,
61,Butaritari,KI,80.91,3.0707,172.7902,
62,Araouane,ML,76.62,18.9048,-3.5265,
63,Punta Arenas,CL,53.71,-53.15,-70.9167,
64,Kango,GA,73.0,0.1943,10.0951,
65,San Patricio,US,64.83,28.017,-97.5169,
66,Rutland,US,37.74,43.6167,-73.0162,
67,Sijunjung,ID,72.18,-0.6876,100.9537,
68,Luanda,AO,73.9,-8.8368,13.2343,
69,Bethel,US,44.94,41.3712,-73.414,
70,Katangli,RU,26.98,51.7102,143.2326,
71,Pevek,RU,-11.34,69.7008,170.3133,
72,Matay,EG,64.24,28.419,30.7792,
73,Saskylakh,RU,-7.49,71.9167,114.0833,
74,Carnarvon,AU,77.72,-24.8667,113.6333,
75,Saint George,US,46.44,37.1041,-113.5841,
76,Caxito,AO,70.92,-8.5785,13.6643,
77,Dikson,RU,4.32,73.5069,80.5464,
78,Te Anau,NZ,70.45,-45.4167,167.7167,
79,New Norfolk,AU,58.5,-42.7826,147.0587,
80,Mount Gambier,AU,55.31,-37.8333,140.7667,
81,Rochegda,RU,27.37,62.8,43.25,
82,Cape Town,ZA,62.91,-33.9258,18.4232,
83,Sangin,AF,49.71,32.0728,64.8359,
84,Port Macquarie,AU,78.89,-31.4333,152.9167,
85,Kaitangata,NZ,59.23,-46.2817,169.8464,
86,Anito,PH,84.22,12.4497,125.2886,
87,Ixtapa,MX,76.23,20.7,-105.2,
88,Tuktoyaktuk,CA,11.5,69.4541,-133.0374,
89,Busselton,AU,61.5,-33.65,115.3333,
90,Ponta Do Sol,PT,68.72,32.6667,-17.1,
91,Otjimbingwe,,67.21,-22.35,16.1333,
92,Manyana,BW,64.29,-23.4,21.7167,
93,Malazgirt,TR,36.64,39.1427,42.5401,
94,Batagay-Alyta,RU,-13.34,67.8006,130.4114,
95,Husavik,IS,46.04,66.0449,-17.3389,
96,Ayutla,MX,63.43,20.1167,-104.3333,
97,North Bend,US,47.07,43.4065,-124.2243,
98,Sao Joao Da Barra,BR,74.82,-21.6403,-41.0511,
99,Geraldton,AU,75.61,-28.7667,114.6,
100,Hobart,AU,58.86,-42.8794,147.3294,
101,Chipinge,ZW,64.8,-20.1883,32.6236,
102,Pelym,RU,11.03,61.0108,61.9978,
103,Port Hardy,CA,39.38,50.6996,-127.4199,
104,Nikolskoye,RU,34.81,59.7035,30.7861,
105,Saint-Joseph,RE,70.18,-21.3667,55.6167,
106,Arraial Do Cabo,BR,73.72,-22.9661,-42.0278,
107,Bar Harbor,US,42.28,44.3876,-68.2039,
108,Mahebourg,MU,72.25,-20.4081,57.7,
109,Bainbridge,US,46.38,47.6262,-122.5212,
110,Saint-Pierre,RE,71.28,-21.3393,55.4781,
111,Basco,PH,81.34,20.4487,121.9702,
112,Yeniseysk,RU,28.29,58.4497,92.1703,
113,Waitati,NZ,55.8,-45.75,170.5667,
114,Mani,CO,74.55,4.8172,-72.2886,
115,Lagoa,PT,64.36,39.05,-27.9833,
116,Anloga,GH,80.1,5.7947,0.8973,
117,Jawhar,SO,74.44,2.7809,45.5005,
118,Ahipara,NZ,67.12,-35.1667,173.1667,
119,Severo-Kurilsk,RU,32.02,50.6789,156.125,
120,Isangel,VU,81.12,-19.55,169.2667,
121,Gloversville,US,37.26,43.0528,-74.3438,
122,Coihaique,CL,54.21,-45.5752,-72.0662,
123,Merauke,ID,86.58,-8.4667,140.3333,
124,Ruwi,OM,76.69,23.5996,58.5507,
125,Cayenne,GF,77.04,4.9333,-52.3333,
126,Ilulissat,GL,33.82,69.2167,-51.1,
127,Davila,PH,84.18,18.4726,120.5763,
128,Victoria,HK,78.19,22.2855,114.1577,
129,Talnakh,RU,-24.02,69.4865,88.3972,
130,Nome,US,21.27,64.5011,-165.4064,
131,Pontes E Lacerda,BR,81.73,-15.2261,-59.3353,
132,Muros,ES,54.68,42.7762,-9.0603,
133,Kuala Kedah,MY,78.08,6.1,100.3,
134,Umm Lajj,SA,78.15,25.0213,37.2685,
135,Agirish,RU,6.75,61.9247,63.0231,
136,Ahuimanu,US,83.91,21.4447,-157.8378,
137,Marienburg,PL,52.84,54.0359,19.0266,
138,Reforma,MX,72.46,18.1,-91.0167,
139,Beipiao,CN,37.11,41.7919,120.7792,
140,Roald,NO,52.75,62.5833,6.1333,
141,Sabha,LY,59.67,27.0377,14.4283,
142,Alugan,PH,82.74,12.2188,125.4808,
143,Ontario,US,63.05,34.0633,-117.6509,
144,Fort Nelson,CA,24.94,58.8053,-122.7002,
145,Khatanga,RU,-20.36,71.9667,102.5,
146,Yellowknife,CA,14.72,62.456,-114.3525,
147,Sao Miguel Do Araguaia,BR,78.19,-13.275,-50.1628,
148,Nishihara,JP,76.28,26.1842,127.7558,
149,Dingle,PH,82.96,10.9995,122.6711,
150,Tommot,RU,16.21,58.9564,126.2925,
151,Thayetmyo,MM,71.04,19.3167,95.1833,
152,Lulea,SE,24.87,65.5842,22.1547,
153,Makakilo City,US,82.72,21.3469,-158.0858,
154,Alberton,CA,44.51,46.8168,-64.0654,
155,Port Alfred,ZA,55.18,-33.5906,26.891,
156,Cabo San Lucas,MX,76.51,22.8909,-109.9124,
157,Pyinmana,MM,70.88,19.7333,96.2167,
158,Harper,LR,77.43,4.375,-7.7169,
159,Maxixe,MZ,73.33,-23.8597,35.3472,
